date,open,high,low,close,volume,amount,eos_price,prediction,q10,q20,q30,q40,q50,q60,q70,q80,q90,oct1,oct2,oct3,oct4,oct5,oct6,oct7,rel_interval_width,forecast_slope,ground_truth,pred,pred_proba,lab,meta_label
2022-10-31,20627.48,20845.92,20237.95,20490.74,303567.61628,6226304300.443864,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,20490.74,20700.0,20330.74,20483.62,279932.43771,5740102554.92083,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,20482.81,20800.0,20048.04,20151.84,373716.27299,7633404092.430692,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-03,20151.84,20393.32,20031.24,20207.82,319185.1544,6461673165.239643,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,20207.12,21302.05,20180.96,21148.52,453694.39165,9409862204.986904,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-05,21148.52,21480.65,21080.65,21299.37,245621.98525,5240395528.908201,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-06,21299.37,21365.27,20886.13,20905.58,230036.97217,4877535058.412703,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,20905.58,21069.77,20384.89,20591.13,386977.60337,8035052131.593453,20591.13,20152.098,18898.19,19495.29,19704.273,19943.113,20152.098,20719.342,21047.746,21376.15,21823.975,19144.49267578125,19704.2734375,19853.548828125,20152.09765625,20898.470703125,21159.701171875,21794.12109375,0.1760457413327509,-47.981166294641234,16619.46,1.0,0.5666666666666667,1.0,1.0
2022-11-08,20590.67,20700.88,17166.83,18547.23,760705.362783,14758384309.854223,18547.23,18529.879,16996.885,17115.951,17711.29,18098.258,18529.879,18753.129,18991.264,19646.135,19973.57,17115.951171875,17264.78564453125,17971.74853515625,18529.8779296875,18753.12890625,19199.630859375,19757.760986328125,0.1761292990044123,7.97342354910984,16900.57,1.0,0.5,1.0,1.0
2022-11-09,18545.38,18587.76,15588.0,15922.81,731926.929729,12737719697.394009,15922.81,15188.628,13158.538,14225.446,14684.811,14907.083,15188.628,15707.265,15840.628,16448.172,17692.898,13651.242431640625,14373.62890625,14818.173828125,15188.6279296875,15707.2646484375,16374.0810546875,17170.559326171875,0.27212540728921863,-50.2759835379453,16662.76,1.0,0.7,0.0,0.0
2022-11-10,15922.68,18199.0,15754.26,17601.15,608448.36432,10323294543.880354,17601.15,18010.57,15441.85,16829.549,17375.771,17685.79,18010.57,18158.197,18394.4,19014.438,19929.729,15685.434692382812,17272.431640625,17420.05859375,18010.5703125,18176.650634765625,18601.080078125,19745.193603515625,0.26885504118301806,28.998535156252164,16692.56,0.0,0.4,1.0,0.0
2022-11-11,17602.45,17695.0,16361.6,17070.31,393552.86492,6725273822.837806,17070.31,17569.746,15526.07,16525.854,16864.018,17055.152,17569.746,17937.316,18084.342,18319.586,19040.016,15768.664428710938,16761.09765625,17036.77392578125,17569.74609375,17955.694580078125,18194.6123046875,18966.50390625,0.21041021723965522,78.76443917410793,16700.45,0.0,0.36666666666666664,1.0,0.0
